Province,AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
安徽,107.160004,64.419998,164.320007,47.630001,31.830000,0.920000,119.110001,2014-05-28

安徽,123.875000,88.610001,197.750000,23.860001,22.360001,1.090000,153.979996,2014-05-29

安徽,132.375000,100.900002,214.179993,27.820000,32.160000,1.240000,147.669998,2014-05-30

安徽,132.774994,93.660004,215.550003,34.889999,35.720001,1.320000,140.990005,2014-05-31

安徽,78.974998,58.180000,79.400002,15.440000,19.010000,1.100000,68.059998,2014-06-01

安徽,54.174999,38.340000,54.779999,30.080000,16.160000,0.930000,91.739998,2014-06-02

安徽,87.875000,65.300003,105.260002,41.900002,23.590000,0.920000,112.050003,2014-06-03

安徽,111.925003,84.540001,135.449997,38.360001,36.320000,1.030000,117.620003,2014-06-04

安徽,97.362503,72.889999,118.790001,24.709999,21.100000,1.040000,136.410004,2014-06-05

安徽,144.112503,110.290001,180.759995,31.200001,24.549999,1.040000,162.460007,2014-06-06

安徽,105.875000,79.699997,113.570000,25.010000,26.320000,1.130000,127.410004,2014-06-07

安徽,86.562500,64.250000,116.790001,27.709999,32.740002,0.840000,139.669998,2014-06-08

安徽,125.562500,95.449997,169.250000,22.490000,21.000000,1.060000,138.940002,2014-06-09

安徽,140.550003,107.440002,170.050003,25.750000,38.020000,1.190000,86.449997,2014-06-10

安徽,144.425003,110.540001,168.720001,32.740002,35.400002,1.370000,84.870003,2014-06-11

安徽,127.937500,97.349998,142.610001,43.240002,31.990000,1.110000,119.010002,2014-06-12

安徽,120.675003,91.540001,159.630005,27.020000,40.860001,1.300000,129.460007,2014-06-13

安徽,208.809998,158.809998,242.139999,33.099998,43.950001,1.760000,114.580002,2014-06-14

安徽,130.850006,99.680000,125.440002,23.240000,35.709999,1.470000,82.540001,2014-06-15

安徽,84.199997,62.360001,73.180000,14.940000,18.770000,0.910000,89.720001,2014-06-16

安徽,66.862503,48.490002,65.779999,23.160000,24.629999,0.940000,69.480003,2014-06-17

安徽,68.087502,49.470001,75.239998,22.670000,20.350000,0.960000,91.730003,2014-06-18

安徽,98.087502,73.470001,110.919998,24.459999,23.790001,1.010000,107.980003,2014-06-19

安徽,116.925003,88.540001,127.250000,31.170000,22.490000,1.170000,64.870003,2014-06-20

安徽,104.637497,78.709999,107.239998,32.080002,25.080000,1.150000,43.959999,2014-06-21

安徽,87.799995,65.239998,93.400002,27.500000,28.219999,1.090000,85.739998,2014-06-22

安徽,89.975006,66.980003,99.760002,29.160000,27.010000,1.290000,120.330002,2014-06-23

安徽,118.462494,89.769997,128.710007,29.240000,26.059999,1.360000,119.379997,2014-06-24

安徽,65.712502,47.570000,67.900002,17.120001,15.640000,0.970000,99.099998,2014-06-25

安徽,72.162498,52.730000,66.620003,18.129999,18.059999,0.670000,103.730003,2014-06-26

安徽,69.574997,50.660000,84.120003,19.600000,21.170000,0.800000,113.480003,2014-06-27

安徽,79.849998,58.880001,98.260002,23.570000,19.309999,0.790000,133.289993,2014-06-28

安徽,80.137497,59.110001,99.980003,29.090000,33.240002,1.000000,98.389999,2014-06-29

安徽,98.637505,73.910004,112.489998,27.830000,26.930000,1.090000,103.559998,2014-06-30

安徽,86.337502,64.070000,89.480003,15.770000,15.850000,0.880000,86.309998,2014-07-01

安徽,58.737503,41.990002,56.090000,14.610000,9.850000,0.740000,108.849998,2014-07-02

安徽,56.495003,36.750000,62.990002,26.120001,15.770000,0.930000,97.089996,2014-07-03

安徽,71.500000,52.200001,73.410004,19.040001,19.980000,0.970000,82.910004,2014-07-04

安徽,67.737495,49.189999,66.610001,21.049999,19.320000,0.760000,85.580002,2014-07-05

